=== GEN PHASE START Wed May 13 08:34:30 PM JST 2026 ===
Pending: 6832 frames
Batches: 1367  (batch size: 5)
  OK know_3 (1562→2993)
  OK see_1 (1562→2993)
  OK see_2 (1562→2993)
  OK see_3 (1562→2993)
  OK make_1 (1562→2993)
  OK back_1 (1605→3475)
  OK back_2 (1605→3475)
  OK back_3 (1605→3475)
  OK want_1 (1605→3475)
  OK want_2 (1605→3475)
  OK people_1 (1651→776)
  OK people_2 (1651→776)
  OK first_1 (1651→776)
  OK know_1 (1651→776)
  OK know_2 (1651→776)
  OK want_3 (1616→5703)
  OK go_1 (1616→5703)
  OK go_2 (1616→5703)
  OK go_3 (1616→5703)
  OK well_1 (1616→5703)
  OK right_3 (1546→3659)
  OK work_1 (1546→3659)
  OK work_2 (1546→3659)
  OK work_3 (1546→3659)
  OK take_1 (1546→3659)
  OK make_2 (1605→3795)
  OK make_3 (1605→3795)
  OK think_1 (1605→3795)
  OK think_2 (1605→3795)
  OK think_3 (1605→3795)
  OK way_3 (1622→7410)
  OK even_1 (1622→7410)
  OK even_2 (1622→7410)
  OK right_1 (1622→7410)
  OK right_2 (1622→7410)
  OK take_2 (1543→6344)
  OK take_3 (1543→6344)
  OK take_4 (1543→6344)
  OK got_1 (1543→6344)
  OK got_2 (1543→6344)
  OK got_3 (1534→3667)
  OK life_1 (1534→3667)
  OK life_2 (1534→3667)
  OK life_3 (1534→3667)
  OK say_1 (1534→3667)
  OK say_2 (1549→7691)
  OK say_3 (1549→7691)
  OK great_1 (1549→7691)
  OK great_2 (1549→7691)
  OK last_1 (1549→7691)
  OK love_2 (1540→8330)
  OK man_1 (1540→8330)
  OK man_2 (1540→8330)
  OK home_1 (1540→8330)
  OK home_2 (1540→8330)
  OK long_1 (1556→5508)
  OK long_2 (1556→5508)
  OK look_1 (1556→5508)
  OK look_2 (1556→5508)
  OK look_3 (1556→5508)
  OK end_1 (1646→5839)
  OK end_2 (1646→5839)
  OK found_1 (1646→5839)
  OK found_2 (1646→5839)
  OK show_1 (1646→5839)
  OK last_2 (1560→8458)
  OK last_3 (1560→8458)
  OK best_1 (1560→8458)
  OK best_2 (1560→8458)
  OK love_1 (1560→8458)
  OK keep_1 (1593→2351)
  OK keep_2 (1593→2351)
  OK keep_3 (1593→2351)
  OK put_1 (1593→2351)
  OK put_2 (1593→2351)
  OK team_1 (1598→3526)
  OK team_2 (1598→3526)
  OK family_1 (1598→3526)
  OK family_2 (1598→3526)
  OK family_3 (1598→3526)
  OK feel_1 (1608→11784)
  OK feel_2 (1608→11784)
  OK feel_3 (1608→11784)
  OK sure_1 (1608→11784)
  OK sure_2 (1608→11784)
  OK show_2 (1595→7958)
  OK show_3 (1595→7958)
  OK big_1 (1595→7958)
  OK big_2 (1595→7958)
  OK big_3 (1595→7958)
  OK number_1 (1584→5946)
  OK number_2 (1584→5946)
  OK number_3 (1584→5946)
  OK lot_1 (1584→5946)
  OK lot_2 (1584→5946)
  OK lot_3 (1583→5003)
  OK name_1 (1583→5003)
  OK name_2 (1583→5003)
  OK name_3 (1583→5003)
  OK play_1 (1583→5003)
  OK put_3 (1595→8544)
  OK free_1 (1595→8544)
  OK free_2 (1595→8544)
  OK free_3 (1595→8544)
  OK second_1 (1595→8544)
  OK second_2 (1602→8757)
  OK second_3 (1602→8757)
  OK left_1 (1602→8757)
  OK left_2 (1602→8757)
  OK left_3 (1602→8757)
  OK play_2 (1661→5208)
  OK play_3 (1661→5208)
  OK play_4 (1661→5208)
  OK use_1 (1661→5208)
  OK use_2 (1661→5208)
  OK three_1 (1615→4402)
  OK better_1 (1615→4402)
  OK better_2 (1615→4402)
  OK find_1 (1615→4402)
  OK find_2 (1615→4402)
  OK come_2 (1629→6148)
  OK part_1 (1629→6148)
  OK part_2 (1629→6148)
  OK state_1 (1629→6148)
  OK state_2 (1629→6148)
  OK give_2 (1600→1886)
  OK house_1 (1600→1886)
  OK house_2 (1600→1886)
  OK place_1 (1600→1886)
  OK place_2 (1600→1886)
  OK used_1 (1647→8288)
  OK used_2 (1647→8288)
  OK made-up_1 (1647→8288)
  OK made-up_2 (1647→8288)
  OK come_1 (1647→8288)
  OK help_1 (1646→7162)
  OK help_2 (1646→7162)
  OK high_1 (1646→7162)
  OK high_2 (1646→7162)
  OK old_1 (1646→7162)
  OK live_1 (1593→3379)
  OK live_2 (1593→3379)
  OK live_3 (1593→3379)
  OK making_1 (1593→3379)
  OK making_2 (1593→3379)
  OK point_1 (1558→2540)
  OK point_2 (1558→2540)
  OK point_3 (1558→2540)
  OK read_1 (1558→2540)
  OK read_2 (1558→2540)
  OK old_2 (1616→9424)
  OK game_1 (1616→9424)
  OK game_2 (1616→9424)
  OK thing_1 (1616→9424)
  OK give_1 (1616→9424)
  OK hard_2 (1559→3190)
  OK hard_3 (1559→3190)
  OK mean_1 (1559→3190)
  OK mean_2 (1559→3190)
  OK mean_3 (1559→3190)
  OK told_1 (1576→4478)
  OK told_2 (1576→4478)
  OK bad_1 (1576→4478)
  OK bad_2 (1576→4478)
  OK hard_1 (1576→4478)
  OK school_1 (1620→8209)
  OK school_2 (1620→8209)
  OK next_1 (1620→8209)
  OK next_2 (1620→8209)
  OK well-being_1 (1620→8209)
  OK call_3 (1573→3751)
  OK head_1 (1573→3751)
  OK head_2 (1573→3751)
  OK head_3 (1573→3751)
  OK let_1 (1573→3751)
  OK support_1 (1549→7898)
  OK support_2 (1549→7898)
  OK tell_1 (1549→7898)
  OK tell_2 (1549→7898)
  OK power_1 (1549→7898)
  OK power_2 (1533→5618)
  OK power_3 (1533→5618)
  OK seen_1 (1533→5618)
  OK seen_2 (1533→5618)
  OK stop_1 (1533→5618)
  OK set_2 (1583→4145)
  OK set_3 (1583→4145)
  OK thought_1 (1583→4145)
  OK thought_2 (1583→4145)
  OK getting_1 (1583→4145)
  OK real_1 (1629→8272)
  OK real_2 (1629→8272)
  OK different_1 (1629→8272)
  OK different_2 (1629→8272)
  OK set_1 (1629→8272)
  OK well_2 (1591→9228)
  OK said_1 (1591→9228)
  OK said_2 (1591→9228)
  OK way_1 (1591→9228)
  OK way_2 (1591→9228)
  OK getting_2 (1598→5079)
  OK group_1 (1598→5079)
  OK group_2 (1598→5079)
  OK looking_1 (1598→5079)
  OK looking_2 (1598→5079)
  OK public_1 (1599→5814)
  OK public_2 (1599→5814)
  OK top_1 (1599→5814)
  OK top_2 (1599→5814)
  OK top_3 (1599→5814)
  OK business_1 (1664→7374)
  OK business_2 (1664→7374)
  OK care_1 (1664→7374)
